Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Nigeria/CV651/2020	EPI_ISL_1035810	2020-12-02	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.18			B.1.1.487	GR
hCoV-19/Nigeria/CV653/2020	EPI_ISL_1035811	2020-12-03	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.20			B.1.1.487	GR
hCoV-19/Nigeria/CV654/2020	EPI_ISL_1035812	2020-12-03	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.21			B.1.1.487	GR
hCoV-19/Nigeria/CV659/2020	EPI_ISL_1035813	2020-12-11	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.26			B.1.1.487	GR
hCoV-19/Nigeria/CV663/2020	EPI_ISL_1035815	2020-12-18	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.28			L.3	GR
hCoV-19/Nigeria/CV664/2020	EPI_ISL_1035816	2020-12-19	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.29	Stretches of NNNs (2.53% of overall sequence).	warn	L.3	GR
hCoV-19/Nigeria/CV666/2020	EPI_ISL_1035818	2020-12-19	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.31			L.3	GR
hCoV-19/Nigeria/CV667/2020	EPI_ISL_1035819	2020-12-20	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.32	Gap of 24 nucleotides when compared to the reference sequence.	info	B.1.525	G
hCoV-19/Nigeria/CV668/2020	EPI_ISL_1035820	2020-12-20	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.33			L.3	GR
hCoV-19/Nigeria/CV670/2020	EPI_ISL_1035821	2020-12-21	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.34	Stretches of NNNs (2.07% of overall sequence). Gap of 6 nucleotides when compared to the reference sequence.	warn	B.1.1.487	GR
hCoV-19/Nigeria/CV672/2020	EPI_ISL_1035823	2020-12-23	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.36	Gap of 73 nucleotides when compared to the reference sequence.	warn	B.1.525	G
hCoV-19/Nigeria/CV673/2020	EPI_ISL_1035824	2020-12-24	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.37			L.3	GR
hCoV-19/Nigeria/CV675/2020	EPI_ISL_1035826	2020-12-25	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.39			L.3	GR
hCoV-19/Nigeria/CV676/2020	EPI_ISL_1035827	2020-12-29	Africa / Nigeria / Edo State	Human	Original	Oropharyngeal swab		Illumina MiSeq	viralngs v.2.1.40			L.3	GR
hCoV-19/Nigeria/NCDC-2G/2021	EPI_ISL_1073135	2021-01-27	Africa / Nigeria / Federal Capital Territory	Human	Original	Nasopharyngeal and oropharyngeal swab		unknown		Stretches of NNNs (4.58% of overall sequence). NS8_K68stop results in 44.6% truncation of the protein sequence. NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 19 nucleotides when compared to the reference sequence.	warn	B.1.1.7	GRY
